case_id,teacher_success,teacher_hit_round,teacher_budget_used,teacher_teacher_match_rate,teacher_termination_reason,current_success,current_hit_round,current_budget_used,current_teacher_match_rate,current_termination_reason,mixed_success,mixed_hit_round,mixed_budget_used,mixed_teacher_match_rate,mixed_termination_reason,panel,teacher_win,current_win,mixed_win,common_wins,mixed_only_wins,teacher_only_wins,current_only_wins,teacher_mixed_common_wins,teacher_current_common_wins,row_type,teacher_win_rate,current_win_rate,mixed_win_rate,mixed_better_than_current_cases,current_better_than_mixed_cases
val:scenario12:part0,1.0,2.0,6.0,1.0,source_hit,1.0,2.0,6.0,1.0,source_hit,1.0,2.0,6.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario13:part0,1.0,2.0,6.0,1.0,source_hit,1.0,2.0,6.0,1.0,source_hit,1.0,2.0,6.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario14:part0,1.0,4.0,12.0,1.0,source_hit,1.0,4.0,12.0,0.5,source_hit,1.0,4.0,12.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario15:part0,1.0,4.0,12.0,1.0,source_hit,1.0,4.0,12.0,1.0,source_hit,1.0,4.0,12.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario16:part0,1.0,3.0,9.0,1.0,source_hit,1.0,3.0,9.0,1.0,source_hit,1.0,3.0,9.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario17:part0,1.0,6.0,18.0,1.0,source_hit,1.0,6.0,18.0,1.0,source_hit,1.0,6.0,18.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario18:part0,1.0,4.0,12.0,1.0,source_hit,1.0,4.0,12.0,1.0,source_hit,1.0,4.0,12.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario19:part0,1.0,1.0,3.0,1.0,source_hit,1.0,1.0,3.0,1.0,source_hit,1.0,1.0,3.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario20:part0,1.0,2.0,6.0,1.0,source_hit,1.0,2.0,6.0,1.0,source_hit,1.0,2.0,6.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario21:part0,1.0,6.0,18.0,1.0,source_hit,1.0,6.0,18.0,1.0,source_hit,1.0,6.0,18.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario22:part0,0.0,,30.0,1.0,budget_exhausted,0.0,,30.0,0.9,budget_exhausted,0.0,,30.0,1.0,budget_exhausted,val_B30,0.0,0.0,0.0,0,0,0,0,0,0,case,,,,,
val:scenario23:part0,1.0,7.0,21.0,1.0,source_hit,1.0,7.0,21.0,1.0,source_hit,1.0,7.0,21.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario24:part0,1.0,4.0,12.0,1.0,source_hit,1.0,4.0,12.0,1.0,source_hit,1.0,4.0,12.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario25:part0,1.0,10.0,30.0,1.0,source_hit,1.0,10.0,30.0,1.0,source_hit,1.0,10.0,30.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario26:part0,1.0,8.0,24.0,1.0,source_hit,1.0,8.0,24.0,0.875,source_hit,1.0,8.0,24.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario27:part0,1.0,6.0,18.0,1.0,source_hit,1.0,6.0,18.0,1.0,source_hit,1.0,6.0,18.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario28:part0,1.0,7.0,21.0,1.0,source_hit,1.0,7.0,21.0,1.0,source_hit,1.0,7.0,21.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario29:part0,1.0,2.0,6.0,1.0,source_hit,1.0,2.0,6.0,1.0,source_hit,1.0,2.0,6.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario30:part0,1.0,5.0,15.0,1.0,source_hit,1.0,5.0,15.0,1.0,source_hit,1.0,5.0,15.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario31:part0,1.0,1.0,3.0,1.0,source_hit,1.0,1.0,3.0,1.0,source_hit,1.0,1.0,3.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario32:part0,1.0,2.0,6.0,1.0,source_hit,1.0,2.0,6.0,1.0,source_hit,1.0,2.0,6.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario33:part0,1.0,3.0,9.0,1.0,source_hit,1.0,3.0,9.0,1.0,source_hit,1.0,3.0,9.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario34:part0,1.0,3.0,9.0,1.0,source_hit,1.0,3.0,9.0,1.0,source_hit,1.0,3.0,9.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario35:part0,1.0,3.0,9.0,1.0,source_hit,1.0,3.0,9.0,1.0,source_hit,1.0,3.0,9.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario36:part0,1.0,2.0,6.0,1.0,source_hit,1.0,2.0,6.0,1.0,source_hit,1.0,2.0,6.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario37:part0,1.0,3.0,9.0,1.0,source_hit,1.0,3.0,9.0,1.0,source_hit,1.0,3.0,9.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario38:part0,1.0,4.0,12.0,1.0,source_hit,1.0,4.0,12.0,1.0,source_hit,1.0,4.0,12.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario39:part0,0.0,,30.0,1.0,budget_exhausted,0.0,,30.0,0.9,budget_exhausted,0.0,,30.0,0.9,budget_exhausted,val_B30,0.0,0.0,0.0,0,0,0,0,0,0,case,,,,,
val:scenario40:part0,1.0,1.0,3.0,1.0,source_hit,1.0,1.0,3.0,1.0,source_hit,1.0,1.0,3.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario41:part0,1.0,1.0,3.0,1.0,source_hit,1.0,1.0,3.0,1.0,source_hit,1.0,1.0,3.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario42:part0,0.0,,30.0,1.0,budget_exhausted,0.0,,30.0,1.0,budget_exhausted,0.0,,30.0,1.0,budget_exhausted,val_B30,0.0,0.0,0.0,0,0,0,0,0,0,case,,,,,
val:scenario43:part0,1.0,5.0,15.0,1.0,source_hit,1.0,6.0,18.0,0.8333333333333334,source_hit,1.0,5.0,15.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario44:part0,1.0,2.0,6.0,1.0,source_hit,1.0,2.0,6.0,1.0,source_hit,1.0,2.0,6.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario45:part0,1.0,3.0,9.0,1.0,source_hit,1.0,3.0,9.0,1.0,source_hit,1.0,3.0,9.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario46:part0,1.0,5.0,15.0,1.0,source_hit,1.0,5.0,15.0,0.6,source_hit,1.0,5.0,15.0,0.8,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario47:part0,1.0,3.0,9.0,1.0,source_hit,1.0,3.0,9.0,1.0,source_hit,1.0,3.0,9.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario48:part0,1.0,3.0,9.0,1.0,source_hit,1.0,3.0,9.0,1.0,source_hit,1.0,3.0,9.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario49:part0,1.0,4.0,12.0,1.0,source_hit,1.0,4.0,12.0,1.0,source_hit,1.0,4.0,12.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario50:part0,0.0,,30.0,1.0,budget_exhausted,0.0,,30.0,1.0,budget_exhausted,0.0,,30.0,1.0,budget_exhausted,val_B30,0.0,0.0,0.0,0,0,0,0,0,0,case,,,,,
val:scenario51:part0,1.0,3.0,9.0,1.0,source_hit,1.0,3.0,9.0,1.0,source_hit,1.0,3.0,9.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario52:part0,1.0,1.0,1.0,1.0,source_hit,1.0,1.0,1.0,1.0,source_hit,1.0,1.0,1.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario53:part0,0.0,,30.0,1.0,budget_exhausted,0.0,,30.0,1.0,budget_exhausted,0.0,,30.0,1.0,budget_exhausted,val_B30,0.0,0.0,0.0,0,0,0,0,0,0,case,,,,,
val:scenario54:part0,1.0,2.0,6.0,1.0,source_hit,1.0,2.0,6.0,1.0,source_hit,1.0,2.0,6.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario55:part0,1.0,3.0,9.0,1.0,source_hit,1.0,3.0,9.0,1.0,source_hit,1.0,3.0,9.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario56:part0,1.0,5.0,15.0,1.0,source_hit,1.0,5.0,15.0,0.8,source_hit,1.0,5.0,15.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario57:part0,1.0,7.0,21.0,1.0,source_hit,1.0,7.0,21.0,1.0,source_hit,1.0,7.0,21.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario58:part0,1.0,10.0,30.0,1.0,source_hit,1.0,10.0,30.0,0.8,source_hit,1.0,10.0,30.0,0.8,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario59:part0,1.0,2.0,6.0,1.0,source_hit,1.0,2.0,6.0,1.0,source_hit,1.0,2.0,6.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario60:part0,1.0,8.0,24.0,1.0,source_hit,1.0,8.0,24.0,0.75,source_hit,1.0,8.0,24.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario61:part0,1.0,3.0,9.0,1.0,source_hit,1.0,3.0,9.0,1.0,source_hit,1.0,3.0,9.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario62:part0,1.0,4.0,12.0,1.0,source_hit,1.0,4.0,12.0,1.0,source_hit,1.0,4.0,12.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario63:part0,1.0,4.0,12.0,1.0,source_hit,1.0,4.0,12.0,1.0,source_hit,1.0,4.0,12.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario64:part0,1.0,3.0,9.0,1.0,source_hit,1.0,3.0,9.0,0.6666666666666666,source_hit,1.0,3.0,9.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario65:part0,1.0,1.0,3.0,1.0,source_hit,1.0,1.0,3.0,1.0,source_hit,1.0,1.0,3.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario66:part0,1.0,7.0,21.0,1.0,source_hit,1.0,7.0,21.0,1.0,source_hit,1.0,7.0,21.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario67:part0,0.0,,30.0,1.0,budget_exhausted,0.0,,30.0,0.8,budget_exhausted,0.0,,30.0,1.0,budget_exhausted,val_B30,0.0,0.0,0.0,0,0,0,0,0,0,case,,,,,
val:scenario68:part0,1.0,1.0,3.0,1.0,source_hit,1.0,1.0,3.0,1.0,source_hit,1.0,1.0,3.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario69:part0,1.0,3.0,9.0,1.0,source_hit,1.0,3.0,9.0,1.0,source_hit,1.0,3.0,9.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario70:part0,1.0,6.0,18.0,1.0,source_hit,1.0,6.0,18.0,1.0,source_hit,1.0,6.0,18.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario71:part0,1.0,8.0,24.0,1.0,source_hit,1.0,8.0,24.0,1.0,source_hit,1.0,8.0,24.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario72:part0,1.0,2.0,6.0,1.0,source_hit,1.0,2.0,6.0,1.0,source_hit,1.0,2.0,6.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario73:part0,1.0,4.0,12.0,1.0,source_hit,1.0,4.0,12.0,1.0,source_hit,1.0,4.0,12.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario74:part0,1.0,3.0,9.0,1.0,source_hit,1.0,3.0,9.0,1.0,source_hit,1.0,3.0,9.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario75:part0,1.0,3.0,9.0,1.0,source_hit,1.0,3.0,9.0,1.0,source_hit,1.0,3.0,9.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario76:part0,1.0,2.0,6.0,1.0,source_hit,1.0,2.0,6.0,1.0,source_hit,1.0,2.0,6.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario77:part0,1.0,3.0,9.0,1.0,source_hit,1.0,3.0,9.0,1.0,source_hit,1.0,3.0,9.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario78:part0,1.0,4.0,12.0,1.0,source_hit,1.0,4.0,12.0,1.0,source_hit,1.0,4.0,12.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario79:part0,1.0,1.0,3.0,1.0,source_hit,1.0,1.0,3.0,1.0,source_hit,1.0,1.0,3.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario80:part0,1.0,5.0,15.0,1.0,source_hit,1.0,5.0,15.0,0.8,source_hit,1.0,5.0,15.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario81:part0,1.0,8.0,24.0,1.0,source_hit,1.0,8.0,24.0,1.0,source_hit,1.0,8.0,24.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario82:part0,1.0,4.0,12.0,1.0,source_hit,1.0,4.0,12.0,1.0,source_hit,1.0,4.0,12.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario83:part0,1.0,4.0,12.0,1.0,source_hit,1.0,4.0,12.0,1.0,source_hit,1.0,4.0,12.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario84:part0,0.0,,30.0,1.0,budget_exhausted,0.0,,30.0,0.8,budget_exhausted,0.0,,30.0,1.0,budget_exhausted,val_B30,0.0,0.0,0.0,0,0,0,0,0,0,case,,,,,
val:scenario85:part0,1.0,3.0,9.0,1.0,source_hit,1.0,3.0,9.0,1.0,source_hit,1.0,3.0,9.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario86:part0,1.0,2.0,6.0,1.0,source_hit,1.0,2.0,6.0,1.0,source_hit,1.0,2.0,6.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario87:part0,1.0,6.0,18.0,1.0,source_hit,1.0,7.0,21.0,0.7142857142857143,source_hit,1.0,6.0,18.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario88:part0,1.0,4.0,12.0,1.0,source_hit,1.0,4.0,12.0,1.0,source_hit,1.0,4.0,12.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario89:part0,1.0,5.0,15.0,1.0,source_hit,1.0,5.0,15.0,1.0,source_hit,1.0,5.0,15.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario90:part0,1.0,1.0,3.0,1.0,source_hit,1.0,1.0,3.0,1.0,source_hit,1.0,1.0,3.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario91:part0,1.0,3.0,9.0,1.0,source_hit,1.0,3.0,9.0,1.0,source_hit,1.0,3.0,9.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario92:part0,1.0,5.0,15.0,1.0,source_hit,1.0,5.0,15.0,1.0,source_hit,1.0,5.0,15.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario93:part0,1.0,6.0,18.0,1.0,source_hit,1.0,6.0,18.0,0.8333333333333334,source_hit,1.0,6.0,18.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario94:part0,1.0,1.0,3.0,1.0,source_hit,1.0,1.0,3.0,1.0,source_hit,1.0,1.0,3.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario95:part0,0.0,,30.0,1.0,budget_exhausted,0.0,,30.0,0.5,budget_exhausted,0.0,,30.0,1.0,budget_exhausted,val_B30,0.0,0.0,0.0,0,0,0,0,0,0,case,,,,,
val:scenario96:part0,1.0,1.0,3.0,1.0,source_hit,1.0,1.0,3.0,1.0,source_hit,1.0,1.0,3.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario97:part0,1.0,3.0,9.0,1.0,source_hit,1.0,3.0,9.0,1.0,source_hit,1.0,3.0,9.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario98:part0,0.0,,1.0,1.0,teacher_no_action,0.0,,1.0,1.0,teacher_no_action,0.0,,1.0,1.0,teacher_no_action,val_B30,0.0,0.0,0.0,0,0,0,0,0,0,case,,,,,
val:scenario99:part0,1.0,4.0,12.0,1.0,source_hit,1.0,4.0,12.0,1.0,source_hit,1.0,4.0,12.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario100:part0,1.0,3.0,9.0,1.0,source_hit,1.0,3.0,9.0,1.0,source_hit,1.0,3.0,9.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario101:part0,1.0,3.0,9.0,1.0,source_hit,1.0,3.0,9.0,1.0,source_hit,1.0,3.0,9.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario102:part0,1.0,1.0,3.0,1.0,source_hit,1.0,1.0,3.0,1.0,source_hit,1.0,1.0,3.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario103:part0,1.0,8.0,24.0,1.0,source_hit,1.0,7.0,21.0,0.2857142857142857,source_hit,1.0,8.0,24.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario104:part0,1.0,3.0,9.0,1.0,source_hit,1.0,3.0,9.0,1.0,source_hit,1.0,3.0,9.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario105:part0,1.0,2.0,6.0,1.0,source_hit,1.0,2.0,6.0,1.0,source_hit,1.0,2.0,6.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario106:part0,1.0,6.0,18.0,1.0,source_hit,1.0,6.0,18.0,0.6666666666666666,source_hit,1.0,6.0,18.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario107:part0,1.0,2.0,6.0,1.0,source_hit,1.0,2.0,6.0,1.0,source_hit,1.0,2.0,6.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario108:part0,1.0,5.0,15.0,1.0,source_hit,1.0,5.0,15.0,1.0,source_hit,1.0,5.0,15.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario109:part0,1.0,10.0,30.0,1.0,source_hit,1.0,10.0,30.0,0.5,source_hit,1.0,10.0,30.0,0.9,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario110:part0,1.0,3.0,9.0,1.0,source_hit,1.0,3.0,9.0,1.0,source_hit,1.0,3.0,9.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario111:part0,1.0,9.0,27.0,1.0,source_hit,1.0,9.0,27.0,0.7777777777777778,source_hit,1.0,9.0,27.0,0.8888888888888888,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario112:part0,1.0,2.0,6.0,1.0,source_hit,1.0,2.0,6.0,1.0,source_hit,1.0,2.0,6.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario113:part0,1.0,2.0,6.0,1.0,source_hit,1.0,2.0,6.0,1.0,source_hit,1.0,2.0,6.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario114:part0,1.0,8.0,24.0,1.0,source_hit,1.0,8.0,24.0,1.0,source_hit,1.0,8.0,24.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario115:part0,1.0,5.0,15.0,1.0,source_hit,1.0,5.0,15.0,1.0,source_hit,1.0,5.0,15.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario116:part0,1.0,5.0,15.0,1.0,source_hit,1.0,5.0,15.0,1.0,source_hit,1.0,5.0,15.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario117:part0,1.0,4.0,12.0,1.0,source_hit,1.0,4.0,12.0,1.0,source_hit,1.0,4.0,12.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario118:part0,1.0,1.0,3.0,1.0,source_hit,1.0,1.0,3.0,1.0,source_hit,1.0,1.0,3.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario119:part0,1.0,1.0,3.0,1.0,source_hit,1.0,1.0,3.0,1.0,source_hit,1.0,1.0,3.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario120:part0,1.0,4.0,12.0,1.0,source_hit,1.0,4.0,12.0,1.0,source_hit,1.0,4.0,12.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario121:part0,1.0,1.0,3.0,1.0,source_hit,1.0,1.0,3.0,1.0,source_hit,1.0,1.0,3.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
val:scenario122:part0,1.0,3.0,9.0,1.0,source_hit,1.0,3.0,9.0,1.0,source_hit,1.0,3.0,9.0,1.0,source_hit,val_B30,1.0,1.0,1.0,1,0,0,0,1,1,case,,,,,
